id	title	abstract
644	A Decision Theoretic Foundation for Indexing	The indexing of a document is among the most crucial steps in preparing that document for retrieval.. The adequacy of the indexing determines the ability of the system to respond to patron requests.. This paper discusses this process, and document retrieval in general, on the basis of formal decision theory.. The basic theoretical approach taken is illustrated by means of a model of word occurrences in documents in the context of a model information system; both models are fully defined in this paper.. Though the main purpose of this paper is to provide insights into a very complex process, formulae are developed that may prove to be of value for an automated operating system..The paper concludes with an interpretation of recall and precision curves as seen from the point of view of decision theory..
1366	The Computerized File Management System	A file management system can provide a powerful search tool for a library reference group.  The system described produces both current awareness and retrospective searches from several diverse data bases.  The same query language can be used to interrogate all data bases in either on-line or batch mode. Searches can be made for any word, word root, phrase, or number in any part of any entry.  Citations selected by coordination of terms can be either printed or used to custom-make new machine-readable files.  Costs are reasonable; an average batch mode search requires 11 seconds of CDC 6600 time.
1206	Personnel Utilization in Libraries A Systems Approach	In the late 1960s nearly all professions in the United States thought they faced severe shortages of manpower in their fields, both in professional and supporting areas.  Librarianship was not immune: there was more work to be done than existing staffs could do; there were budgeted professional vacancies that could not be filled.  And, concurrently, there were concerns being quietly expressed that some of the shortages could be ameliorated by a changed utilization of existing manpower. It was at this time and out of these concerns that Julius R. Chitwood, then president of the Illinois Library Association, appointed an ad hoc Committee on Manpower Training and Utilization to study patterns of staff assignments and to recommend to library administrators more effective ways of utilizing professional staff.  After examining the use of professional staff in a few libraries, however, it became clear to this committee of volunteer researchers that they could not do the job which needed doing.  It was also clear that a need was there, that a small segment of the library manpower problem could be more fully explored, that the results of a serious study in Illinois might have national implications, and that the resources for such a study should be sought.
173	Authoritarian Personality	"This is a book about social discrimination.  But its purpose is not simply to add a few more empirical findings to an already extensive body of information.  The central theme of the work is a relatively new concept - the rise of an ""anthropological"" species we call the authoritarian type of man.  In contrast to the bigot of the older style he seems to combine the ideas and skills which are typical of a highly industrialized society with irrational or anti-rational beliefs.  He is at the same time enlightened and superstitious, proud to be an individualist and in constant fear of not being like all the others, jealous of his independence and inclined to submit blindly to power and authority.  The character structure which comprises these conflicting trends has already attracted the attention of modern philosophers and political thinkers.  This book approaches the problem with the means of socio-psychological research."
537	The Information Sciences	This book describes the results of a study which the author has carried out during the summer of 1969 in Heidelberg and San Francisco about the development of the information sciences in the Federal Republic of Germany. This study was conducted following an undertaking between the Federal Ministry for Scientific Research, the Institute for Documentation questions, and the Study Group for Research in System Science.
1160	Methodological problems of scientific-technical literature typology	Two causes for inconsistency between a primary document is content and form are examined. 1) Inconsistency between document structure and structure of its information. 2) Insufficient development of theories of scientific, and technical literature, in particular, the typology of primary scientific documents. It is suggested that the concept of genres of scientific-technical literature be introduced, based on the degree to which the material is generalized. Five basic genres are examined:  technical reports, articles, monographs, text- books and reference works. The practical application of a typology of scientific and technological literature is shown to be possible.
261	Classification Scheme for Law Books	An examination made over a period of years of the principles of classifying law books for use in libraries, and of their treatment in many general and specialized classification schemes convinced me that no scheme existed which was generally suitable for libraries in English- speaking countries outside the United States.  Law collections in academic libraries in the United Kingdom and the Commonwealth were in a particularly difficult position.  They had the choice of adopting one of the good American schemes, which generally make inadequate provision for the needs of overseas Commonwealth libraries; or of adopting one of the English schemes, each of which is virtually tailored to a particular library, and several of which are even less well suited to overseas libraries; or of devising new schemes for themselves.  There seemed to be an urgent need for a practical law classification scheme capable of being used in a variety of libraries, large and small, general and special, academic and professional, in these countries.
1195	Comparative Effects of Titles, Abstracts and Full Texts on Relevance Judgements	Twenty-two users submitted 99 questions to experimental IR systems and received 1086 documents as answers, receiving first titles, then abstracts, and finally full texts.. Ability of users to recognize relevance from shorter formats in comparison to full text judgement was observed.. Of 1086 answers evaluated, 843 or 78% had the same judgement on all three formats.. Of 207 answers judged relevant from full text, 131 were judged so from titles and 160 from abstracts.. Parallels between users' and IR systems' performance on shorter formats are drawn..
625	On Selecting a Measure of Retrieval Effectiveness	It is argued that a user's subjective evaluation of the personal utility of a retrieval system's output to him, if it could be properly quantified, would be a near-ideal measure of retrieval effectiveness.. A hypothetical methodology is presented for measuring this utility by means of an elicitation procedure.. Because the hypothetical methodology is impractical, compromise methods are outlined and their underlying simplifying assumptions are discussed.. The more plausible the simplifying assumptions on which a performance measure is based, the better the measure.. This, along with evidence gleaned from 'validation experiments' of a certain kind, is suggested as a criterion for selecting or deriving the best measure of effectiveness to use under given test conditions..
580	Overlap in the Lists of Journals Monitored by Biosis, CAS, and Ei	In April 1970, the BioSciences Information Service of Biological Abstracts, the Chemical Abstracts Service, and Engineering Index, Inc. began a five-part study to determine the relationships between and the overlap in coverage in their printed publications and computer-readable services.. This study was designed to provide information needed by these three accessing services for planning future cooperative programs and for reconciling differences in policies and practices so as to make their publications and services more useful to their user communities.. This paper is based on the first part of the study, which compared listings of the journals each service was routinely monitoring as of 1 May 1970.. Of the 14,592 different journals monitored, 1% were monitored by all three of the services, 27% were monitored by two of the three services, and 72% were monitored by only one of the three services.. Subsequent phases of the study will determine the extent to which the services cover the same articles within the journals..
997	The Ohio College Library Center	The Ohio College Library Center is a regional library network.. Its on-line shared cataloging system has been operational since 18 October 1971,and utilizes cathode ray tube terminals located in the center's fifty-three member libraries.. These terminals are connected to the Sigma 5 computer in Columbus by a multiple line, multiple party synchronous transmission telephone network.. Between January and June 1972 the system operated at an annual rate of 500,000 works cataloged and over 3,400,000 catalog cards produced .. These cards are individualized to fit the requirements of each member and are produced in packs designated for particular catalogs..
833	A New Linear Notation System Based on Combinations of Carbon and Hydrogen	A new linear notation system is described which was designed to have a one-to-one correspondence with the chemical structures represented by the notations.. Each notation is unique and unambiguous, yet simple and compatible with computer input and output characters.. The symbols used in the notation system denote carbon in terms of bounds and attached hydrogen(s).. The notation system is illustrated with acyclic, carbocyclic, and heterocyclic examples..
767	Journal Usage Versus Age of Journal	The effective planning of technical libraries would be greatly facilitated if there were some theoretical basis which could be used to predict the probable distribution by titles, and by age of journal, of future journal demand.  As a first step, the author has recently developed a general expression for the distribution among journal titles of large groups of journal references. In this present paper a relationship between usage and age of journal is established and the application of this relationship to some library planning problems is illustrated.
43	The Consistency of Human Judgments of Relevance	A comparison of the ability of humans to consistently judge the relevance of documents to their general interests from bases of citations, abstracts, keywords, and total text was made under controlled experimental conditions.. The results showed that 1) humans are able to make such judgments consistently, and 2) the consistency of the judgment is independent of the particular base from which it is made.. Apparent inconsistency arising from judgments made on the basis of abstracts remains unexplained.. This experiment, as well as others concerned with human evaluations of text material, leave unexplored the basic problem of providing a metric scale on which such evaluations can be measured..
225	A Method of Estimating the In-House Use of the Periodical Collection in the University of Minnesota Bio-Medical Library	During two one-week periods in April 1972, information on periodical title and date was gathered from  periodicals collected from study and reshelving tables of the University of Minnesota Bio-Medical Library. It was determined that: (1) a few titles accounted for most of the total use; (2) the relationship between age and amount of use of a journal may be described by the equation y = ke**(-bx); and (3) the last five years of publication accounted for 58% of the total use.
483	Performance of Automatic Information Systems	The SMART document retrieval system is used to investigate algorithms for text analysis and request searching.. Results from three document collections indicate that word normalization is efficiently performed by automatic thesaurus lookup, while phrase matching procedures, statistical association methods, and concept hierarchies are useful for special applications.. Automatic document clustering schemes and use-interactive feedback methods permit rapid searches of large collections.. Abstracts are found to be superior to titles as a base for content analysis in a document retrieval system and almost as good as complete texts.. Proper procedures for designing dictionaries and searching requests are discussed..The practicality of large scale document centers and their proper design are considered in light of these results..
570	Deriving Term Relations for a Corpus by Graph Theoretical Clusters	"We discuss how alternative methods of automatic term clustering may provide insight into how terms are related within a corpus.  The work reported uses a corpus of 2267 documents that contain 3950 index terms.	A similarity matrix is developed using the document - term matrix.  A threshold level T is applied to the similarity matrix.  Entries in the matrix that are greater than or equal to the threshold level are set equal to one, and the remaining entries are set to zero. Three definitions are applied to the corresponding graph of each threshold matrix to develop clusters. These are, (1) the connected components of the graph, (2) the maximal complete subgraphs of the graph, and (3) the combined maximal complete subgraphs of the graph as described that show how insight may be gained into the term relations by varying the threshold levels and the cluster definitions."
1358	System Design, Evaluation, and Costing	"The word ""system"" as applied to information programs and activities is one which is very foggily defined.  The purpose of this paper is to help clarify the concept and discuss it in the context of the librarian's conventional planning and administrative activities.  This is done through a narration of the step-by-step procedures followed in the conceptualization and design of an actual library and information program.  The steps involved are the following:  definition of the purpose of the program, and financial and administrative constraints on its design and operation, as envisaged by management; a user study to determine needs and preferences of the presumed audience of the program; analysis and definition of program performance requirements; selection of methods and mechanisms for implementing performance requirements; conceptualization and documentation of program design; evaluation of design; modification and completion of design. Two basic principles that are discussed and emphasized are the need to define what the program should be doing and what it should not be doing, and the need and means for determining real as opposed to apparent costs in the design process."
1078	Computerized Information Retrieval Services (Automatisierte Information Retrieval Dienste)	Following an outline of the current trend in information storage, retrieval, and dissemination, this paper provides a description of some of the information services offered at the University of Calgary.  The services include processing of data-bases supplied on magnetic tapes.  The system is briefly characterized as featuring natural text processing.  Selective dissemination of information is directed to users periodically in response to their profiles, and retrospective searches are performed on request, both in the batch mode. Feedback from users and system performance are also briefly reviewed.
293	Change in Academic Libraries	Never noted for their willingness to accept innovative suggestions and implement change from outside sources, academic libraries have remained institutions in which changes in service policies and programs originated from internal sources only.. In order to shift to an orientation that seeks to develop new and expanding service programs, the establishment to research groups could do much to improve both the services offered by a library and its role in the academic community.. While certain constraints always limit modification or the initiation of services, a properly constituted research group could do much to generate a climate for change, provide feedback to the library, and successfully continue to develop new and more effective library and information services..
1453	Women in Librarianship	There are some who question whether the status of women in the library profession is a major issue.  A survey of library literature, however shows an increase in the factual data available regarding differences between men and women in salaries, promotional patterns and other professional situations. There are local library groups which are examining the status of women in their own libraries and organizing to improve their employment situations.  On the state and national level, conference programs and workshops at library association meetings have dealt with various aspects of sex discrimination, affirmative action policies, sexism in children's materials and the like.
879	Providing Bibliograhic Services From Machine-Radable Data Bases - The Library's Role	Libraries will play a key role in providing access to data bases, but not by subscribing to tape services and establishing local processing centers as is commonly assumed.. High costs and the nature of the demand will make this approach unfeasible.. It is more likely that the library's reference staff will develop the capability of serving as a broker between the local campus user and the various regional or specialized retail distribution centers which exist or will be established..
611	What Information Dissemination Studies Imply Concerning the Design of On-Line Reference Retrieval Systems*	"The use of an on-line computer system for locating bibliographic citations has been hailed as an important innovation for coping with the ""information explosion.."" However, on-line reference retrieval is only one element in a large social system of information dissemination.. To have a widespread impact, an on-line system must compete successfully with a multitude of other sources of references.. This paper reviews studies of information dissemination as a basis for determining how on-line retrieval can best compete.  It recommends the functional groups for whom an on-line system should be designed and the forms of written media that should be included in the system's initial data base.. Finally, it presents criteria the system should satisfy to be as widely used and as comprehensive as other reference retrieval methods.."
1454	Work and Motivation	"The basic plan for this book was evolved during the summer of 1959. At that time I was working on a chapter entitled ""Industrial Social Psychology"" for the annual Review of Psychology.  I was impressed by the large amount of research being conducted in the field, but found the task of integrating that research and of identifying the progress made during the period of the review exceedingly difficult.  In part, this difficulty was a result of the great differences among investigators in the phenomena they selected for study and the methods they used to study it.  A more troublesome problem, however, was the apparent theoretical implications of their research.  Concepts tended to be highly specific and inadequately defined.  There was little standardization of terminology and little consideration for the nature of the processes underlying empirical data."
1106	Efficiency of Information Service at a Research Institute (findings of a questionnaire survey)	Discussing the problem of evaluation of the efficiency of an information service at a research institute, the paper presents the results of a questionnaire survey conducted in 1968 at an electronics industry research establishment; the objective of the survey was to work out improvements of the special information system..
262	Classification and Subject Index for a Library	The plan of the following Classification and Index was developed early in 1873.  It was the result of several months' study of library economy as found in some hundreds of books and pamphlets, and in over fifty personal visits to various American libraries.  In this study, the author became convinced that the usefulness of these libraries might be greatly increased without additional expenditure.  Three years practical use of the system here explained, leads him to believe that it will accomplish this result; for with its aid, the catalogues, shelf lists, indexes, and cross-references essential to this increased usefulness, can be made more economically than by any other method which he has been able to find.  The system was devised for cataloguing and indexing purposes, but it was found on trial to be equally valuable for numbering and arranging books and pamphlets on the shelves.
1066	A Modern Outline of Library Classification	This outline is based mainly on lectures given at the North-Western Polytechnic to students studying for the Library Association's Registration Examination in Classification and Cataloguing. It is hoped that it will help to meet the need, increasingly felt in recent years by students and teachers of the subject, for a reasonably simple textbook on Library Classification which takes account of the considerable developments which have occurred in the subject in the past 25 years.  As is well known, a great deal of this has been due to Dr. Ranganathan, and also, in more recent years, to Mr. B. C. Vickery.  As a result of these developments, a coherent theory of library classification has been established in each of its three major departments - in subject analysis, in notation, and in the alphabetical indexing of systematic orders.  It is now possible to construct library classifications whose efficiency in the two basic functions (of relating subjects helpfully, and of locating them rapidly ad unerringly) is considerably greater than the schemes we have so far used.  Moreover, they are easier to construct.
697	Computer Generation of Wiswesser Line Notation. II. Polyfused, Perifused, and Chained Ring Structure	The computer program for the generation of Weswesser Line Notation (WLN) has been extended to include polyfused rings, methyl contraction rules, chain of two ring systems, some perifused rings, some chelates, and some metallocences.. Salts and ions are also handled, but in a different manner than what is normally found.. Multipliers are not used by the program.. The normal input for the WLN generation is an easy input program using a Rand Tablet; however, teletype and connection table input can also be used in most cases..
977	A Study of the Usage and Retention of Technical Periodicals	"Limited physical space expansion, an administrative consideration in every library, becomes a stringent factor in the planning of special libraries.  While public and college libraries may have several decades of growth possibility when they take possession of a building or area, it is indeed a fortunate industrial library whose stacks are not overcrowded after five years of establishment in new quarters.  Industrial floorspace is too greatly in demand to devote more effort to the possible future growth of the library.	Weeding or storage requirements, therefore, are far more immediate considerations to the special industrial library administrators than they are to administrators of other types of libraries.  The limits of expansion are usually apparent earliest in the serials collections of industrial libraries because so much current technical data is published first in scientific and technical periodicals. These collections grow rapidly.  This summarization of a recent study made by one technical library in the area of space for use of technical journals has potential for other libraries."
444	On Relevance as a Measure	Relevance is defined as a measure of information conveyed by a document relative to a query.. It is shown that the relationship between the document and the query, though necessary, is not sufficient to determine relevance..
33	"The ""Half-Life"" of Some Scientific and Technical Literatures"	A consideration of the analogy between the half-life of radioactive substances and the rate of obsolescence of scientific literature.. The validity of this analogy suggest the possibility of more accurate prognostications concerning the period of time during which scientific literature may by used and hence might help to guide the planning of library collections and technical information services..
75	MEDLARS: Report on the Evaluation of Its Operating Efficiency	A comprehensive program to evaluate the performance of MEDLARS was conducted by the National Library of Medicine in 1966 and 1967.. This report describes the methodology used and presents a summary of the principal results, conclusions, and recommendations..
432	Illustrative Computer Programming for Libraries	Illustrative Computer Programming is intended as a graded workbook or text supplement containing typical practical problems, suggested solutions, and tried analyses which emphasize programming efficiency and some of the major features of PL/I (Programming Language/One).  As such, it can be used alone or in combination with established PL/I textbooks such as those listed in the Selected Bibliography.  Programmers with knowledge of other languages will not be bothered by excessive introductory material, while beginners can learn much by looking at the solutions to the problems and their accompanying analyses.
